DATA;DIA DA SEMANA;CONSULTOR;ROTA;REGIONAL;CONSULTOR - ROTA;CLIENTE;FILIAL;CNPJ;CHECK IN ;CHECK OUT
30/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - SANTOS/SP;92660406005692;12:00;16:00
30/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;BHP;BHP - SANTOS/SP;53484010000700;09:00;11:00
13/04/2026;MONDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - RECIFE/PE;92660406004106;09:00;12:00
13/04/2026;MONDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - BOA VIAGEM/PE;08824171003596;13:30;18:00
14/04/2026;TUESDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - IMBIRIBEIRA/PE;92660406000623;09:00;12:00
14/04/2026;TUESDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - RECIFE/PE;08824171001119;13:30;18:00
15/04/2026;WEDNESDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - DISTRITO INDUSTRIAL/PB;92660406000976;09:00;12:00
15/04/2026;WEDNESDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - JOAO PESSOA/PB;08824171004649;13:30;17:00
16/04/2026;THURSDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;FERREIRA COSTA;FERREIRA COSTA - MASCARENHAS RECIFE/PE;10230480001960;09:00;12:00
16/04/2026;THURSDAY;LUIZ FALCAO DE SOUZA NETO;NE_2;NE;CONSULTOR - NE;FERREIRA COSTA;FERREIRA COSTA - CONEGO RECIFE/PE;10230480000483;13:30;18:00
17/04/2026;FRIDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - JOÃO PESSOA/PB;92660406000976;09:00;12:00
17/04/2026;FRIDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - JOAO PESSOA/PB;08824171004649;13:30;17:00
20/04/2026;MONDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - IMBIRIBEIRA/PE;92660406000623;09:00;12:00
20/04/2026;MONDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - BOA VIAGEM/PE;08824171003596;13:30;18:00
22/04/2026;WEDNESDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - JOÃO PESSOA/PB;92660406000976;09:00;12:00
22/04/2026;WEDNESDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - JOAO PESSOA/PB;08824171004649;13:30;17:00
23/04/2026;THURSDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - IMBIRIBEIRA/PE;92660406000623;09:00;12:00
23/04/2026;THURSDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - RECIFE/PE;08824171001119;13:30;18:00
24/04/2026;FRIDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - DISTRITO INDUSTRIAL/PB;92660406000976;09:00;12:00
24/04/2026;FRIDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - JOAO PESSOA/PB;08824171004649;13:30;17:00
27/04/2026;MONDAY;LUIZ FALCAO DE SOUZA NETO;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - RECIFE/PE;92660406004106;09:00;12:00
