REDE;CLIENTE;LOJA;CONSULTOR;CNPJ;NOME PDV
COLOMBO;COLOMBO;83790 - COLOMBO - AV AV CAETANO MUNHOZ DA ROCHA - 1269 - LAPA - PR;BIBIANO RODRIGUES NETO;8,98E+13;83790 - COLOMBO - AV AV CAETANO MUNHOZ DA ROCHA - 1269 - LAPA - PR
COLOMBO;COLOMBO;83528 - COLOMBO - RUA PEABIRU - 439 - CRUZEIRO DO OESTE - PR;BIBIANO RODRIGUES NETO;8,98E+13;83528 - COLOMBO - RUA PEABIRU - 439 - CRUZEIRO DO OESTE - PR
COLOMBO;COLOMBO;83447 - COLOMBO - AV SAUL ELKIND - 1394 - LONDRINA - PR;BIBIANO RODRIGUES NETO;8,98E+13;83447 - COLOMBO - AV SAUL ELKIND - 1394 - LONDRINA - PR
COLOMBO;COLOMBO;82637 - COLOMBO - RUA CORIFEU AZEVEDO MARQUES - 221 - SAO JOAO DO IVAI - PR;BIBIANO RODRIGUES NETO;8,98E+13;82637 - COLOMBO - RUA CORIFEU AZEVEDO MARQUES - 221 - SAO JOAO DO IVAI - PR
COLOMBO;COLOMBO;82041 - COLOMBO - RUA NICOLAU KLUPPEL NETO - 1304 - PONTA GROSSA - PR;BIBIANO RODRIGUES NETO;8,98E+13;82041 - COLOMBO - RUA NICOLAU KLUPPEL NETO - 1304 - PONTA GROSSA - PR
COLOMBO;COLOMBO;81070 - COLOMBO - RUA LOURIVAL WENDLER - 406 - CURITIBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;81070 - COLOMBO - RUA LOURIVAL WENDLER - 406 - CURITIBA - PR
COLOMBO;COLOMBO;80855 - COLOMBO - RUA PROF DUILIO CALDERARI - 1844 - CAMPINA GRANDE DO SUL - PR;BIBIANO RODRIGUES NETO;8,98E+13;80855 - COLOMBO - RUA PROF DUILIO CALDERARI - 1844 - CAMPINA GRANDE DO SUL - PR
COLOMBO;COLOMBO;80502 - COLOMBO - RUA FARROUPILHA - 271 - SAO MIGUEL DO IGUACU - PR;BIBIANO RODRIGUES NETO;8,98E+13;80502 - COLOMBO - RUA FARROUPILHA - 271 - SAO MIGUEL DO IGUACU - PR
COLOMBO;COLOMBO;80421 - COLOMBO - AV AV GOVERNADOR MOISES LUPION - 271 - CAFELANDIA - PR;BIBIANO RODRIGUES NETO;8,98E+13;80421 - COLOMBO - AV AV GOVERNADOR MOISES LUPION - 271 - CAFELANDIA - PR
COLOMBO;COLOMBO;80340 - COLOMBO - AVENIDA NICOLAU INACIO - 1197 - SALTO DO LONTRA - PR;BIBIANO RODRIGUES NETO;8,98E+13;80340 - COLOMBO - AVENIDA NICOLAU INACIO - 1197 - SALTO DO LONTRA - PR
COLOMBO;COLOMBO;79920 - COLOMBO - PRACA SANTOS DUMONT - 23 - PARAISO DO NORTE - PR;BIBIANO RODRIGUES NETO;8,98E+13;79920 - COLOMBO - PRACA SANTOS DUMONT - 23 - PARAISO DO NORTE - PR
COLOMBO;COLOMBO;79849 - COLOMBO - AVENIDA IGUACU - 121 - CAPITAO LEONIDAS MARQUES - PR;BIBIANO RODRIGUES NETO;8,98E+13;79849 - COLOMBO - AVENIDA IGUACU - 121 - CAPITAO LEONIDAS MARQUES - PR
COLOMBO;COLOMBO;79504 - COLOMBO - AVENIDA BRASIL - 2419 - JURANDA - PR;BIBIANO RODRIGUES NETO;8,98E+13;79504 - COLOMBO - AVENIDA BRASIL - 2419 - JURANDA - PR
COLOMBO;COLOMBO;79334 - COLOMBO - AVENIDA RUI BARBOSA - 152 - TAPEJARA - PR;BIBIANO RODRIGUES NETO;8,98E+13;79334 - COLOMBO - AVENIDA RUI BARBOSA - 152 - TAPEJARA - PR
COLOMBO;COLOMBO;79172 - COLOMBO - AVENIDA AVENIDA LUIZ FRANCISO PAGGI - 785 - VERE - PR;BIBIANO RODRIGUES NETO;8,98E+13;79172 - COLOMBO - AVENIDA AVENIDA LUIZ FRANCISO PAGGI - 785 - VERE - PR
COLOMBO;COLOMBO;78958 - COLOMBO - RUA MARECHAL DEODORO DA FONSECA - 522 - BARBOSA FERRAZ - PR;BIBIANO RODRIGUES NETO;8,98E+13;78958 - COLOMBO - RUA MARECHAL DEODORO DA FONSECA - 522 - BARBOSA FERRAZ - PR
COLOMBO;COLOMBO;75690 - COLOMBO - RUA CESAR CARELLI - 217 - FAZENDA RIO GRANDE - PR;BIBIANO RODRIGUES NETO;8,98E+13;75690 - COLOMBO - RUA CESAR CARELLI - 217 - FAZENDA RIO GRANDE - PR
COLOMBO;COLOMBO;74456 - COLOMBO - RUA TUIUTI - 2210 - JOINVILLE - SC;BIBIANO RODRIGUES NETO;8,98E+13;74456 - COLOMBO - RUA TUIUTI - 2210 - JOINVILLE - SC
RAMSONS;RAMSONS;01921 - RAMSONS - NOVA CIDADE SHOPPING - MANAUS - AM;A DEFINIR;3,34E+12;01921 - RAMSONS - NOVA CIDADE SHOPPING - MANAUS - AM
RAMSONS;RAMSONS;01760 - RAMSONS - MANAUARA SHOPPING - MANAUS - AM;A DEFINIR;3,34E+12;01760 - RAMSONS - MANAUARA SHOPPING - MANAUS - AM
RAMSONS;RAMSONS;00879 - RAMSONS - SUMAUMA PARK SHOPPING - MANAUS - AM;A DEFINIR;3,34E+12;00879 - RAMSONS - SUMAUMA PARK SHOPPING - MANAUS - AM
RAMSONS;RAMSONS;00607 - RAMSONS - SHOPPING DB PONTA NEGRA - MANAUS - AM;A DEFINIR;3,34E+12;00607 - RAMSONS - SHOPPING DB PONTA NEGRA - MANAUS - AM
RAMSONS;RAMSONS;00445 - RAMSONS - AMAZONAS SHOPPING - MANAUS - AM;A DEFINIR;3,34E+12;00445 - RAMSONS - AMAZONAS SHOPPING - MANAUS - AM
RAMSONS;RAMSONS;01336 - RAMSONS - SHOPPING GRANDE CIRCULAR - MANAUS - AM;A DEFINIR;3,34E+12;01336 - RAMSONS - SHOPPING GRANDE CIRCULAR - MANAUS - AM
RAMSONS;RAMSONS;25402 - RAMSONS - AVENIDA VICENTE QUEIROGA A 8 A - SN - SAO LUIS - MA;TATIANE SOUZA DOS SANTOS;4,00E+12;25402 - RAMSONS - AVENIDA VICENTE QUEIROGA A 8 A - SN - SAO LUIS - MA
RAMSONS;RAMSONS;02731 - RAMSONS - AVENIDA EPHIGENIO SALLES - 3047 - MANAUS - AM;A DEFINIR;3,34E+12;02731 - RAMSONS - AVENIDA EPHIGENIO SALLES - 3047 - MANAUS - AM
RAMSONS;RAMSONS;02650 - RAMSONS - AVENIDA AUTAZ MIRIM - 6250 - MANAUS - AM;A DEFINIR;3,34E+12;02650 - RAMSONS - AVENIDA AUTAZ MIRIM - 6250 - MANAUS - AM
RAMSONS;RAMSONS;02570 - RAMSONS - AVENIDA NOEL NUTELS - 1762 - MANAUS - AM;A DEFINIR;3,34E+12;02570 - RAMSONS - AVENIDA NOEL NUTELS - 1762 - MANAUS - AM
RAMSONS;RAMSONS;02499 - RAMSONS - AVENIDA LEOPOLDO PERES - 435 - MANAUS - AM;A DEFINIR;3,34E+12;02499 - RAMSONS - AVENIDA LEOPOLDO PERES - 435 - MANAUS - AM
RAMSONS;RAMSONS;02308 - RAMSONS - AVENIDA AUTAZ MIRIM - 9360 - MANAUS - AM;A DEFINIR;3,34E+12;02308 - RAMSONS - AVENIDA AUTAZ MIRIM - 9360 - MANAUS - AM
RAMSONS;RAMSONS;02227 - RAMSONS - AVENIDA FRANCISCO QUEIROZ - 429 - MANAUS - AM;A DEFINIR;3,34E+12;02227 - RAMSONS - AVENIDA FRANCISCO QUEIROZ - 429 - MANAUS - AM
RAMSONS;RAMSONS;02146 - RAMSONS - SHOPPING MANAUS VIA NORTE - MANAUS - AM;A DEFINIR;3,34E+12;02146 - RAMSONS - SHOPPING MANAUS VIA NORTE - MANAUS - AM
RAMSONS;RAMSONS;02065 - RAMSONS - SHOPPING PONTA NEGRA - MANAUS - AM;A DEFINIR;3,34E+12;02065 - RAMSONS - SHOPPING PONTA NEGRA - MANAUS - AM
RAMSONS;RAMSONS;01840 - RAMSONS - RUA PROFESSOR ABILIO ALENCAR - 601 - MANAUS - AM;A DEFINIR;3,34E+12;01840 - RAMSONS - RUA PROFESSOR ABILIO ALENCAR - 601 - MANAUS - AM
RAMSONS;RAMSONS;01689 - RAMSONS - RUA GUILHERME MOREIRA - 216 - MANAUS - AM;A DEFINIR;3,34E+12;01689 - RAMSONS - RUA GUILHERME MOREIRA - 216 - MANAUS - AM
RAMSONS;RAMSONS;00798 - RAMSONS - AVENIDA LEOPOLDO PERES - 570 - MANAUS - AM;A DEFINIR;3,34E+12;00798 - RAMSONS - AVENIDA LEOPOLDO PERES - 570 - MANAUS - AM
RAMSONS;RAMSONS;00526 - RAMSONS - RUA DOUTOR MOREIRA - 190 - MANAUS - AM;A DEFINIR;3,34E+12;00526 - RAMSONS - RUA DOUTOR MOREIRA - 190 - MANAUS - AM
RAMSONS;RAMSONS;00364 - RAMSONS - RUA MARCILIO DIAS - 158 - MANAUS - AM;A DEFINIR;3,34E+12;00364 - RAMSONS - RUA MARCILIO DIAS - 158 - MANAUS - AM
RAMSONS;RAMSONS;00283 - RAMSONS - RUA MARCILIO DIAS - 255 - MANAUS - AM;A DEFINIR;3,34E+12;00283 - RAMSONS - RUA MARCILIO DIAS - 255 - MANAUS - AM
RAMSONS;RAMSONS;01506 - RAMSONS - RUA JOSE PARANAGUA - 242 - MANAUS - AM;A DEFINIR;3,34E+12;01506 - RAMSONS - RUA JOSE PARANAGUA - 242 - MANAUS - AM
RAMSONS;RAMSONS;01417 - RAMSONS - SHOPPING SAO JOSE MANAUS - MANAUS - AM;A DEFINIR;3,34E+12;01417 - RAMSONS - SHOPPING SAO JOSE MANAUS - MANAUS - AM
RAMSONS;RAMSONS;01255 - RAMSONS - AVENIDA CARVALHO LEAL - 1017 - MANAUS - AM;A DEFINIR;3,34E+12;01255 - RAMSONS - AVENIDA CARVALHO LEAL - 1017 - MANAUS - AM
RAMSONS;RAMSONS;01174 - RAMSONS - SHOPPING STUDIO 5 FESTIVAL MALL - MANAUS - AM;A DEFINIR;3,34E+12;01174 - RAMSONS - SHOPPING STUDIO 5 FESTIVAL MALL - MANAUS - AM
RAMSONS;RAMSONS;01093 - RAMSONS - AVENIDA DJALMA BATISTA - 1661 - MANAUS - AM;A DEFINIR;3,34E+12;01093 - RAMSONS - AVENIDA DJALMA BATISTA - 1661 - MANAUS - AM
RAMSONS;RAMSONS;00950 - RAMSONS - AVENIDA EDUARDO RIBEIRO - 549 - MANAUS - AM;A DEFINIR;3,34E+12;00950 - RAMSONS - AVENIDA EDUARDO RIBEIRO - 549 - MANAUS - AM
DUFRIO;DUFRIO;06312 - DUFRIO - RUA ANTONIO ALVES - 611 - BAURU - SP;ALEXANDRE RIBEIRO LIMA;1,75E+12;06312 - DUFRIO - RUA ANTONIO ALVES - 611 - BAURU - SP
DUFRIO;DUFRIO;04964 - DUFRIO - AV. PHILADELPHO MANOEL GOUVEIA NETO - 2551 - SAO JOSE DO RIO PRETO - SP;ALEXANDRE RIBEIRO LIMA;1,75E+12;04964 - DUFRIO - AV. PHILADELPHO MANOEL GOUVEIA NETO - 2551 - SAO JOSE DO RIO PRETO - SP
DUFRIO;DUFRIO;02830 - DUFRIO - AVENIDA DR. FRANCISCO JUNQUEIRA - 731 - RIBEIRAO PRETO - SP;ALEXANDRE RIBEIRO LIMA;1,75E+12;02830 - DUFRIO - AVENIDA DR. FRANCISCO JUNQUEIRA - 731 - RIBEIRAO PRETO - SP
